,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
325,Hyundai Verna SX,Chennai,525000,80000, Diesel,2012,Hyundai
326,Volkswagen Polo Comfortline,Chennai,675000,30123, Petrol,2018,Volkswagen
327,Renault Kwid RXT,Chennai,325000,67000, Petrol,2016,Renault
328,Renault Triber RXT,Chennai,645000,26123, Petrol,2020,Renault
329,Maruti Suzuki Ertiga,Chennai,785000,60123, Petrol,2017,Maruti
330,Mahindra TUV300 T8,Chennai,690000,52123, Diesel,2016,Mahindra
331,Maruti Suzuki Celerio,Chennai,425000,11123, Petrol,2018,Maruti
332,Hyundai Elite i20,Chennai,645000,41233, Petrol,2019,Hyundai
333,Maruti Suzuki Swift,Chennai,529699,50141, Petrol ,2016,Maruti
334,Maruti Suzuki Ertiga,Bangalore,1081899,86033, Diesel,2018,Maruti
335,Fiat Linea Dynamic,Kolkata,256000,30000, Petrol ,2012,Fiat
336,Honda City ZX,Bangalore,290000,86924, Petrol,2008,Honda
337,Volkswagen Polo GT,Bangalore,735000,68870, Petrol,2016,Volkswagen
338,Maruti Suzuki XL6,Bangalore,1244799,22292, Petrol ,2019,Maruti
339,Honda Amaze -,Bangalore,474399,44013, Petrol ,2014,Honda
340,Maruti Suzuki Wagon,Bangalore,389399,96250, Petrol ,2016,Maruti
341,Maruti Suzuki Swift,Chennai,562399,59839, Petrol ,2017,Maruti
342,Hyundai Grand i10,Chennai,446699,49693, Petrol ,2015,Hyundai
343,Renault Kwid RXT,Bangalore,439999,22223, Petrol ,2017,Renault
344,Honda Amaze -,Bangalore,918999,8030, Petrol ,2021,Honda
345,Volkswagen Polo -,Bangalore,815799,38780, Petrol ,2016,Volkswagen
346,Maruti Suzuki Vitara,Bangalore,896799,31919, Diesel ,2018,Maruti
347,Hyundai i10 Sportz,Bangalore,411399,47564, Petrol ,2015,Hyundai
348,Hyundai Grand i10,Bangalore,498999,42836, Petrol ,2013,Hyundai
349,Renault Kwid RXT,Chennai,470000,6000, Petrol,2020,Renault
350,Tata Indica -,Chennai,69000,85000, Diesel,2007,Tata
351,Mahindra TUV300 T8,Madurai,925000,27000, Diesel,2018,Mahindra
352,Mahindra Scorpio LX,Chennai,495000,690000, Diesel,2013,Mahindra
353,Maruti Suzuki Ertiga,Chennai,1090000,35000, Petrol,2020,Maruti
354,Toyota Etios Liva,Delhi,300000,135000, Diesel,2013,Toyota
355,Tata Aria Prestige,Bangalore,450000,115000, Diesel,2012,Tata
356,Ford Figo -,Bangalore,357999,50488, Petrol ,2015,Ford
357,Maruti Suzuki Ignis,Pune,462599,12916, Petrol ,2018,Maruti
358,Hyundai Elite i20,Bangalore,695199,30731, Petrol ,2016,Hyundai
359,Maruti Suzuki Eeco,Bangalore,490399,8825, Petrol ,2019,Maruti
360,Renault Kwid RxL,Bangalore,340099,21627, Petrol ,2016,Renault
361,Maruti Suzuki Ertiga,Bangalore,997899,5580, Petrol ,2020,Maruti
362,Hyundai i10 Sportz,Bangalore,351599,41371, Petrol ,2013,Hyundai
363,Maruti Suzuki Swift,Bangalore,603799,42313, Petrol ,2016,Maruti
364,Hyundai Elite i20,Bangalore,599799,74913, Petrol ,2016,Hyundai
365,Maruti Suzuki Wagon,Bangalore,456099,74760, Petrol ,2018,Maruti
366,Ford Ecosport -,Bangalore,993699,34045, Diesel ,2019,Ford
367,Maruti Suzuki Ritz,Bangalore,312299,143147, Petrol ,2010,Maruti
368,Hyundai Venue -,Bangalore,1221799,28149, Petrol ,2019,Hyundai
369,Maruti Suzuki Swift,Bangalore,522999,38049, Petrol ,2015,Maruti
370,Hyundai EON Magna,Bangalore,323399,78895, Petrol ,2014,Hyundai
371,Hyundai Grand i10,Bangalore,510799,27027, Petrol ,2015,Hyundai
372,Mahindra XUV 500,Pune,750000,66000, Diesel,2013,Mahindra
